?mondo_term	?label	?definition	?obsoletion_candidate	?obsolete
<http://purl.obolibrary.org/obo/MONDO_0017425>	"preaxial polydactyly of fingers"	"Preaxial polydactyly of fingers is a limb malformation syndrome characterized by the attachment of a superfluous digit on the first digit. Four types have been defined: Type I (PPD1 or biphalangeal thumb polydactyly) which shows duplication of one or more skeletal components of a biphalangeal thumb; type II (PPD2 or polydactyly of a triphalangeal thumb) which involves the presence of a usually opposable triphalangeal thumb with or without additional duplication of thumb; type III (PPD3 or polydactyly of an index finger) where the thumb is replaced by one or two triphalangeal digits with dermatoglyphic pattern specific for the index finger; and type IV (PPD4 or polysyndactyly) which shows variably mild degrees of thumb duplication and variable syndactyly between 3rd and 4th fingers. Among the four types, PPD1 is the most frequent form. Preaxial polydactyly of fingers is caused by disruptions to the developmental patterning of the limb along the anterior-posterior axis that lead to changes in digit number and identity."	""	
<http://purl.obolibrary.org/obo/MONDO_0000087>	"polymicrogyria"	"A developmental brain abnormality characterized by an excessive amount of small convolutions on the surface of the brain and cognitive dysfunction."	""	
<http://purl.obolibrary.org/obo/MONDO_0002320>	"congenital nervous system disorder"	"An abnormality of the nervous system that is present at birth or detected in the neonatal period."	""	
<http://purl.obolibrary.org/obo/MONDO_0000508>	"syndromic intellectual disability"	"A intellectual disability that is part of a larger syndrome."	""	
<http://purl.obolibrary.org/obo/MONDO_0000088>	"precocious puberty"	"Unusually early sexual maturity."	""	
<http://purl.obolibrary.org/obo/MONDO_0002259>	"gonadal disorder"	"A non-neoplastic or neoplastic disorder that affects the testis or the ovary."	""	
<http://purl.obolibrary.org/obo/MONDO_0021147>	"disorder of development or morphogenesis"	"Any disease or disorder that disrupts the process development of an anatomical structure. Can be due to genetic or environmental causes. Typically happens during embryogenesis, but also includes post-embryonic development."	""	
<http://purl.obolibrary.org/obo/MONDO_0019590>	"obsolete rare endocrine growth disease"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000089>	"obsolete age-related hearing impairment"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0005562>	"obsolete age-related hearing impairment"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000090>	"progressive external ophthalmoplegia with mitochondrial DNA deletions"		""	
<http://purl.obolibrary.org/obo/MONDO_0005181>	"progressive external ophthalmoplegia"	"A mitochondrial myopathy characterized by slowly progressive paralysis of the levator palpebrae, orbicularis oculi, and extraocular muscles. Ragged-red fibers and atrophy are found on muscle biopsy. Familial and sporadic forms may occur. Disease onset is usually in the first or second decade of life, and the illness slowly progresses until usually all ocular motility is lost. (From Adams et al., Principles of Neurology, 6th ed, p1422)"	""	
<http://purl.obolibrary.org/obo/MONDO_0000091>	"obsolete progressive familial heart block"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019490>	"progressive familial heart block"	"A hereditary cardiac conduction disorder that may progress to complete atrioventricular (AV) block. The disease is either asymptomatic or manifests as dyspnea, dizziness, syncope, abdominal pain, heart failure or sudden death."	""	
<http://purl.obolibrary.org/obo/MONDO_0000092>	"obsolete pyloric stenosis, infantile"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0001560>	"hypertrophic pyloric stenosis"	"An abnormality characterized by thickening of the muscle in the wall of the pylorus. It results in the narrowing of the pyloric channel. The overlying mucosa may appear hypertrophic as well. Clinical signs and symptoms appear early in life and include projectile vomiting and dehydration."	""	
<http://purl.obolibrary.org/obo/MONDO_0000093>	"obsolete Schistosoma mansoni infection, susceptibility"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0859050>	"Schistosoma mansoni infection, susceptibility/resistance to"	"An inherited predisposition to Schistosoma mansoni infection intensity and reinfection after treatment."	""	
<http://purl.obolibrary.org/obo/MONDO_0000094>	"obsolete spherocytosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000095>	"obsolete split-hand/foot malformation"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0016576>	"split hand-foot malformation"	"Split hand-split foot malformation (SHFM) refers to a spectrum of genetically and clinically heterogenous terminal limb defect characterized by hypoplasia/ absence of central rays of the hands and feet (that can occur in one to all four digits), median clefts of the hands and/ or feet, aplasia and syndactyly, with a wide range of severity ranging from malformed central finger/ toe to a lobster claw-like appearance of the hands and feet. SHFM can be an isolated malformation or can be a feature in various syndromes (ADULT syndrome, EEC syndrome). SHFM usually follows an autosomal dominant pattern of inheritance with incomplete penetrance, but autosomal recessive and rarely X-linked inheritance have also been reported."	""	
<http://purl.obolibrary.org/obo/MONDO_0000096>	"obsolete pulmonary surfactant metabolism dysfunction"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0012580>	"hereditary pulmonary alveolar proteinosis"	"Congenital pulmonary alveolar proteinosis is a very rare primary interstitial lung disease due to pulmonary surfactant accumulation within the alveolar macrophages and alveoli, characterized by a variable clinical course ranging from an asymptomatic clinical presentation and spontaneous remission, to symptoms such as dyspnea and cough, or to severe respiratory failure."	""	
<http://purl.obolibrary.org/obo/MONDO_0000097>	"obsolete thyroid dyshormonogenesis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000098>	"obsolete thyrotoxic periodic paralysis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019201>	"thyrotoxic periodic paralysis"	"Thyrotoxic periodic paralysis (TPP) is a rare neurological disease characterized by recurrent episodes of paralysis and hypokalemia during a thyrotoxic state."	""	
<http://purl.obolibrary.org/obo/MONDO_0000099>	"obsolete trichoepithelioma, multiple familial"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000100>	"obsolete trichorhinophalangeal syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000101>	"obsolete tumoral calcinosis"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0018891>	"familial tumoral calcinosis"	"Tumoral calcinosis is a phosphocalcic metabolism anomaly, particularly among younger age groups and characterized by the presence of calcified masses in the juxta-articular regions (hip, elbow, ankle and scapula) without joint involvement. Histologically, lesions dysplay collagen necrobiosis, followed by cyst formation and a foreign-body response with calcification Two forms of tumoral calcinosis have been described: normocalcemic tumoral calcinosis and familial tumoral calcinosis."	""	
<http://purl.obolibrary.org/obo/MONDO_0000102>	"obsolete vertigo"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000103>	"obsolete Wilms tumor"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0019004>	"kidney Wilms tumor"	"An embryonal pediatric tumor of the kidney which may also be seen rarely in adults. The peak incidence of Wilms tumor is between the second and fifth year of life. Microscopically, it is composed of a mixture of cellular elements (blastemal, stromal, and epithelial). The most common sites of metastasis include the regional lymph nodes, lungs, and liver."	""	
<http://purl.obolibrary.org/obo/MONDO_0000104>	"anemia, hypochromic microcytic with iron overload"		""	
<http://purl.obolibrary.org/obo/MONDO_0000387>	"hypochromic microcytic anemia"	"Anemia in which the circulating RBCs are smaller than the usual size of RBCs (microcytic) and have decreased red color (hypochromic)."	""	
<http://purl.obolibrary.org/obo/MONDO_0000105>	"anemia, nonspherocytic hemolytic"		"True"	
<http://purl.obolibrary.org/obo/MONDO_0006506>	"congenital nonspherocytic hemolytic anemia"	"Any one of a group of congenital hemolytic anemias in which there is no abnormal hemoglobin or spherocytosis and in which there is a defect of glycolysis in the erythrocyte. Common causes include deficiencies in glucose-6-phosphate isomerase; pyruvate kinase; and glucose-6-phosphate dehydrogenase."	""	
<http://purl.obolibrary.org/obo/MONDO_0000106>	"obsolete apnea"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000107>	"auriculocondylar syndrome"	"Auriculo-condylar syndrome (ACS) presents with bilateral external ear malformations ('question mark' ears), mandibular condyle hypoplasia, microstomia, micrognathia, microglossia and facial asymmetry. Additional manifestations include hypotonia, ptosis, cleft palate, puffy cheeks, developmental delay, impaired hearing and respiratory distress."	""	
<http://purl.obolibrary.org/obo/MONDO_0007500>	"ear malformation"		""	
<http://purl.obolibrary.org/obo/MONDO_0015397>	"craniofacial microsomia"		""	
<http://purl.obolibrary.org/obo/MONDO_0000108>	"bacteremia, susceptibility"		""	
<http://purl.obolibrary.org/obo/MONDO_0005229>	"bacterial infectious disease with sepsis"	"An infectious disease caused by bacteria causing sepsis."	""	
<http://purl.obolibrary.org/obo/MONDO_0000109>	"obsolete basal ganglia calcification, idiopathic"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000720>	"obsolete basal ganglia calcification"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000110>	"bifid nose"	"Bifid nose is a rare congenital malformation of presumed autosomal dominant or recessive inheritance characterized by clefting of the nose ranging from a minimally noticeable groove in the columella to complete clefting of the underlying bones and cartilage (resulting in two half noses) with a usually adequate airway. Bifid nose may be seen in frontonasal dysplasia while other malformations such as hypertelorbitism and midline clefts of the lip may also be associated."	""	
<http://purl.obolibrary.org/obo/MONDO_0015411>	"facial cleft"	"A congenital abnormality consisting of an opening or gap in the face, which results from incomplete fusion of one or more of the embryonic facial prominences."	""	
<http://purl.obolibrary.org/obo/MONDO_0024623>	"otorhinolaryngologic disease"	"Pathological processes of the ear, the nose, and the throat, also known as the ENT diseases."	""	
<http://purl.obolibrary.org/obo/MONDO_0000111>	"camptodactyly syndrome, Guadalajara"		""	
<http://purl.obolibrary.org/obo/MONDO_0000112>	"obsolete cardioencephalomyopathy, fatal infantile"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0015487>	"fatal infantile encephalocardiomyopathy"	"Fatal infantile cytochrome C oxidase deficiency is a very rare mitochondrial disease characterized clinically by cardioencephalomyopathy resulting in death in infancy."	""	
<http://purl.obolibrary.org/obo/MONDO_0000113>	"obsolete cerebellar ataxia, mental retardation, and dysequilibrium syndrome"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000114>	"cerebelloparenchymal disorder"		"True"	
<http://purl.obolibrary.org/obo/MONDO_0000115>	"Chiari malformation"	"A rare genetic brain malformation characterized by displacement of the brain stem and cerebellum through the foramen magnum. It may result in hydrocephalus."	""	
<http://purl.obolibrary.org/obo/MONDO_0000116>	"obsolete cortical dysplasia, complex, with other brain malformations"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000904>	"complex cortical dysplasia with other brain malformations"		""	
<http://purl.obolibrary.org/obo/MONDO_0000117>	"obsolete diarrhea, congenital"		""	"true"
<http://purl.obolibrary.org/obo/MONDO_0000824>	"congenital diarrhea"		""	
<http://purl.obolibrary.org/obo/MONDO_0000118>	"reticulate pigment disorder"		""	
<http://purl.obolibrary.org/obo/MONDO_0019288>	"skin pigmentation disorder"	"A pigmentation disease that involves the zone of skin."	""	
<http://purl.obolibrary.org/obo/MONDO_0000119>	"congenital heart defects, multiple types"		""	
<http://purl.obolibrary.org/obo/MONDO_0005453>	"congenital heart disease"	"A heart disease that is present at birth. Representative examples include atrial septal defect, ventricular septal defect, tetralogy of Fallot, and patent foramen ovale."	""	
